,,M_c,q,s1_z,s2_z,iota,d_L,t_c,psi,ra,dec,lambda_1,lambda_2,H_0,v_p,logL,logL_birth,nlive
labels,,$M_c$,$q$,$s_{1z}$,$s_{2z}$,$\iota$,$d_L$,$t_c$,$\psi$,$\alpha$,$\delta$,$\Lambda_1$,$\Lambda_2$,$H_0$,$v_p$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,,,,,,,,,,,
0,0.0,1.5313285957444482,0.7832820730594563,0.010908922398878064,-0.02617223796852346,0.9390564640014286,3.9754212046821507,-0.0466610463976275,0.6290415791814731,3.4645900444809627,0.015510867370557629,131.1371195421296,2811.786154986139,144.35752885840773,206.45793678094742,-36455.2362726802,,1500
1,0.0,1.1940675469250661,0.8221123218340238,0.02261360552175698,0.045681193281299784,1.1993847423712864,74.68512585983133,-0.072849610734401,0.1662357224199259,3.404597789236402,-1.1794106741730164,1895.8544634638374,203.81231391716992,244.0943121746658,90.61622113258886,-21723.119107830906,,1499
2,0.0,1.3040287798378931,0.3253191892693743,0.020922898613310578,0.01647221605493729,2.153232188718688,72.99363281160545,0.0603093225133049,1.7629985706495035,3.450826980949366,-0.5607923350884007,1896.1243487912304,1958.3094285718294,243.56710188563795,306.4761063586893,-21094.760914476785,,1498
3,0.0,1.629994036544093,0.6153628068216398,-0.013163156402632638,-0.04966352955979203,1.8937383115617146,71.37203111350121,-0.06760811113139825,1.837858307543999,3.4147650398761864,-1.100681017106679,3009.6888058699665,1435.8601040081364,236.93357037146365,968.7588147946999,-20485.436744800536,,1497
4,0.0,1.3054508906933122,0.669552526900298,0.008006648466056789,-0.025961095876000307,1.377545511914295,71.44930572404836,0.09422663580475504,1.0541001335375537,3.4871409551686767,-0.430410877071053,567.3219208528901,1828.206785905927,242.31831671447128,551.0420957895769,-20442.911909830007,,1496
5,0.0,1.2324246792598308,0.6328493813474372,0.024442865607708503,0.024900607298397354,1.5391049125485665,74.4285374070086,-0.0735134424299489,2.515633685227572,3.439528793403146,0.8643742578844031,2993.4201745769474,4821.414335277475,240.83960626178123,-183.4489513184683,-20061.173141413223,,1495
6,0.0,1.9775962433911956,0.4958620005720057,-0.04572294048602954,0.008831088844353109,0.904896964030693,74.36059249338629,-0.033881952145758246,2.7186672316062412,3.449007926761557,0.07236269070866735,4036.094169106802,3754.699482093776,246.20486923524138,-714.7307300273148,-19766.22957963745,,1494
7,0.0,2.1510867827234694,0.4249604179004344,0.0035495555490284506,-0.020689574445899875,1.1340659476670913,73.78564769011777,0.03719749026640015,0.352705292803685,3.416766282310977,0.6922462116598449,3124.9430693797076,1756.7456685076654,238.80238160682762,3.8026341104555286,-19742.645941653267,,1493
8,0.0,1.6498030056463653,0.9962342715538236,0.04139770504701146,-0.009932878955692413,1.2242917815342758,71.79348489132624,-0.0820581501126942,1.4728148409634605,3.4927344789943944,-0.35976833160422533,360.1269982812949,3718.6598429386363,249.36287579300517,-335.82236539002963,-19615.135667536026,,1492
9,0.0,1.5866357527693005,0.5768844818062722,0.02728273476866039,0.0148084021882771,0.25785623580736705,74.41620526247897,-0.034137681090780705,2.0113091751976007,3.4192229170531836,-0.644311807380772,202.6466048483133,635.6480786915808,245.90967196670462,-860.2762589101301,-19562.70220437845,,1491
10,0.0,2.0596323104106293,0.39634940424986076,0.04766483709045158,0.016562315228683233,2.5162988089024787,71.70039106124719,-0.08896946140057418,1.937708896452078,3.431854467999274,-0.8307052754286087,2563.6778484377974,2338.779402116935,228.45666519427124,985.2738365034725,-19358.394700942394,,1490
11,0.0,1.6973332963978285,0.7473836784856184,-0.03318256896342013,-0.0338638998696988,2.3305783541192633,72.51562538073694,-0.009369569460704552,0.2756338656899345,3.4912435947101743,0.225446037260049,896.5916392925244,682.0976545290314,247.35797994327731,-516.2314968090565,-19270.052359328547,,1489
12,0.0,1.347046937569382,0.6972012252900073,-0.0442552070355458,-0.018708238780940238,0.22395007579746395,73.82894539180455,-0.027398406345344392,2.4675762474406078,3.407434987775933,-0.5671163789887136,2450.38193977001,529.863667373629,232.0491226219471,174.2008749224558,-19094.9267431598,,1488
13,0.0,2.118964770301343,0.8499200100912594,0.03182240022617992,0.017850384939504638,1.5650086076383787,72.77857200475722,-0.04043699789567619,2.3792832444633216,3.455977413144554,0.3458670153554068,803.4500283776458,4161.284011040487,232.41072411901501,-45.07136605138487,-17727.291959856408,,1487
14,0.0,1.2096842855483902,0.9725414092764183,-0.008046798080229345,-0.03335893142644915,2.116448658419992,73.63263742425887,0.0607690777024327,0.46557891542631635,3.4248942626861285,-0.13796272670060158,653.0846355507769,4362.792360936914,219.68422620737041,667.5921144299687,-17702.022894879396,,1486
15,0.0,1.197738923257006,0.15341328880365393,-0.02360506564904723,0.019220729389256078,1.4203418171734976,67.11893504383151,-0.041581288876384154,2.641238027502796,3.4500349776596817,-1.167133837681173,1579.4233870401497,3057.5376474692152,247.78332101179114,201.4579675282996,-17634.979392446963,,1485
16,0.0,1.5481044561861603,0.4236047030976401,0.024668866629137517,-0.008322677937373624,0.8622614290580016,71.22164729109687,0.00775337628411657,0.8210980461948436,3.397528615641604,-0.6929404216351058,463.53329234565587,145.57930160441046,217.95521539454353,881.4002697456406,-16685.33456510371,,1484
17,0.0,1.1945822051678772,0.1664424598720878,-0.011164576237903144,-0.03901119177333656,0.3411210459077619,72.46992260735738,-0.03195313026160562,0.014993508138180971,3.445620973394723,0.7060225180751147,2140.139758933192,315.40375911741637,214.83006108141558,891.8799590195049,-16661.350841330557,,1483
18,0.0,2.0391850024642637,0.2660711330632506,-0.027603753648076813,-0.040946738210982936,1.5546802342699904,74.58428607606577,0.01708968270303264,1.6310170437442986,3.415436952696422,0.7971632931820548,2306.989578268982,497.85413748055674,218.39418947594848,170.24209051962657,-16644.705252492273,,1482
19,0.0,1.9636761981656785,0.8156439900883103,0.008798911223600547,-0.027535561505384765,2.4958263355058015,66.78380558483688,0.0313188698217505,2.136935336155047,3.4601574652148313,1.266402144825508,116.29223805496136,4639.814031584833,243.41176182417814,32.70498296047958,-16331.922640834679,,1481
20,0.0,1.2806791261851458,0.1520271045420448,0.01457876466211809,0.03849121256971136,0.9019812003123144,68.01001171487908,-0.09295774014230292,1.4917297543088444,3.432819514274952,0.9743738663144198,632.0787713548303,2887.9975732228413,226.39589803232016,918.099063981947,-16300.092220126275,,1480
21,0.0,2.0348422637646033,0.6135514976070847,-0.03459431824921669,-0.006470197212992891,2.756246555846195,67.10392080114009,0.0007178173433211449,1.9868837257350445,3.423839627819779,1.040583000624505,3869.085234415496,3681.142943162097,228.97568451824606,851.7912908436194,-16107.258261111898,,1479
22,0.0,2.1224789012671748,0.5879037498798423,-0.01816181678730793,0.02748546752414538,1.9192267334999313,70.7878773578992,0.009063952942029815,1.7620872425952847,3.417165475457261,-0.128613393803773,2598.7794048275737,4851.865372907348,239.84289579506023,-836.0540496346624,-15955.834098299209,,1478
23,0.0,1.5190275875854846,0.1298005161488578,0.021175310992711596,0.035537675483034215,1.4685725526309603,74.38770770369956,-0.08949088314092363,2.1144965868330154,3.482543927005478,-0.7198686794332338,1942.9714164088007,3216.267116288525,212.32263532252944,270.22514514250406,-15705.55509312844,,1477
24,0.0,1.393134403768598,0.3912872103106649,-0.004237690734355669,-0.014134789749232504,1.7294517395707882,67.49290775549478,0.045511406244591435,0.7164971323247499,3.4379320270209814,-0.7525166683032373,3099.729352648829,2466.96914744155,247.02942416051954,-630.147932217938,-15692.436966056119,,1476
25,0.0,2.148533169096048,0.6360176071854955,-0.033179620899285875,0.03979908570405215,0.5664319707718143,71.78420476831445,-0.009444545895578388,0.5224876629372036,3.4390705276138647,0.13697412574310214,4275.7880319365395,2984.5523022639877,216.88296587839122,404.4747660821288,-15651.31622433858,,1475
26,0.0,1.903924004560285,0.7494376867049913,0.03032980445990137,-0.013164309534694545,1.1171680284151135,64.29968899318258,0.03917903262827069,1.8005173699517276,3.4035780897147507,-0.28232361162441094,754.1463669472281,2936.204095530246,239.0751081007818,567.1018435167459,-15480.521148730275,,1474
27,0.0,1.2972357716737757,0.49994428879980246,-0.027950117217819773,0.007843632276371706,1.6926568900553052,66.61174722353924,0.013351367556831667,2.2100302791037816,3.411030690340292,-0.5768559570569738,3687.793896656436,3224.438863442597,245.6835657403369,-424.4704656755216,-15418.622628469691,,1473
28,0.0,2.0702165053188746,0.3867039932739941,0.029751465523057297,-0.020994874481872185,1.78066096563508,65.77377967771362,-0.07749561004381454,2.9286758313049446,3.4037893902246195,0.31507563869324123,4514.829079202312,4990.557346976615,242.53165125021457,-12.179065240875047,-15367.964473707221,,1472
29,0.0,1.3342928753059033,0.9459751905772179,-0.010208194659990052,-0.03762065723735979,1.4369203611940877,71.41734128567364,-0.002979853232055213,2.7866958114738005,3.43764153223347,0.26693073576436566,2314.0681670148942,2783.1002049959443,223.59559171937497,-72.17819605768705,-15254.833608569279,,1471
30,0.0,1.971098387888235,0.375105403072864,0.04618897488880473,-0.013223341930787669,1.7325550692635567,70.44808341741793,0.08164142843213762,0.3541237613846504,3.455403447181642,0.4951709875470593,143.01751707314514,511.4333339563315,213.05588815172274,661.6609655217376,-14733.712273117162,,1470
31,0.0,1.7832754784170786,0.9629223449954052,-0.02631603052274936,0.024551909689050938,1.291687325849479,68.74612907329232,-0.031841060380829275,1.2110575449098588,3.4001499233714676,1.029358452493813,1720.596266774359,2822.091103182106,215.68679778815732,826.2629622226752,-14676.763435524774,,1469
32,0.0,1.6979014895328823,0.7098791044701234,-0.017950473189472453,-0.03142936321127747,0.8331213493702303,64.21234692082193,-0.09112010423692035,0.46630660335965435,3.453579663862845,-1.185945104942784,2567.9847413511548,2749.3432226062196,236.4303092357056,357.33676879310315,-14605.58617347273,,1468
33,0.0,1.9878175658569608,0.8628989479313436,-0.010804243725982834,-0.04105843786537325,1.9665932053666344,63.80156550195848,0.016998490874632427,2.9211268566849293,3.4824331896714247,0.6433129218655063,4359.658681207283,4646.3441567412565,231.65212099945964,832.7196700192192,-14584.775965893856,,1467
34,0.0,1.4260150459783973,0.1667639266952813,-0.00396839082085465,0.035697346308448855,2.4539150071558558,66.98488713274116,-0.006001522070855053,1.1533205415481205,3.403481530323739,1.0027969155703835,2929.187859092052,4982.015683150877,230.7579006652537,30.112260521148983,-14284.39177503063,,1466
35,0.0,1.6128840663274628,0.9622749680794196,0.03267678370551186,0.02654371298867074,1.776085614382501,69.09862546475586,-0.0656571001488186,0.1574026401101235,3.425693352578844,-0.9192317339497742,1674.1856000745836,450.875257142126,216.13109502559558,546.3350393802345,-14267.247305987095,,1465
36,0.0,2.007853169900146,0.8325635320122416,-0.022939464704297377,0.02785556552308721,1.685957266622927,66.77375381103212,-0.02690377773532289,0.8700126624756103,3.4730142759117806,-0.04052092262720188,1122.6157270193448,206.42008975243266,242.9611437718003,-812.7016480111946,-14198.759905881912,,1464
37,0.0,1.5242485001005595,0.6109163751628852,0.027176755881518175,-0.03326033187412523,1.5354275849650643,70.41651140827015,-0.024028852879455706,2.506765332211835,3.401937035332673,0.732475237039007,4746.742716488237,881.2671002694594,224.01115360035408,-336.90342621166997,-14172.344230358502,,1463
38,0.0,2.0666790313999908,0.6233177251362314,0.02737589264069229,0.009723248156887784,1.9328913742241651,73.42518046585799,0.0013462197654640767,2.243550096774365,3.424178527259048,0.6927015328472328,3962.729735815188,988.4343961403763,220.10780826611054,-732.7188693863441,-14171.975998461807,,1462
39,0.0,1.965635114496418,0.4161426623867971,0.04008740595320351,0.028865859315825346,2.8422378732999443,73.50079668693158,-0.06908904093937705,1.0156407890503285,3.4706114232951717,0.9708472337132907,4689.512748253809,4584.318809183916,200.5889531483621,652.5097020682201,-14087.801199853704,,1461
40,0.0,1.529112973278631,0.6589019811293704,0.03970802165457103,-0.04512290041352991,1.4639297031774718,71.53298547110948,-0.057202308509676274,1.919660873097315,3.397370066014787,1.1207038999785832,4711.8414329520165,1957.7922077879139,217.52409956479215,-161.51635291545836,-14080.85367157982,,1460
41,0.0,2.1587438702241712,0.8390626513500061,-0.0320156592595251,0.048245415427371735,2.115505652392924,69.84668262242062,0.05759623316764065,2.907738593355531,3.401278455269952,0.343684205378946,1825.155198895545,3471.10266794347,216.7354809746898,219.43101931976548,-14025.523808404005,,1459
42,0.0,2.0337019974276926,0.5357402571231169,-0.04954227527674731,-0.0008168448591673108,1.5666383694352068,59.84288292397443,0.054334676453671044,1.476069472493112,3.4238371819025852,0.5279152095835217,3400.8220195198546,3371.30686927268,243.90811468538146,717.3114395369521,-13875.219982829056,,1458
43,0.0,2.1310703239484354,0.1706982597154721,0.01069723716763147,0.024427702066342843,0.4321170539947962,74.76433956744013,-0.05389072006676896,0.1803962918293652,3.4880106854942627,0.247097792646995,653.1720511918681,1823.4864709385101,192.65775772882682,803.4799633401954,-13799.471635114045,,1457
44,0.0,1.3015024627134602,0.29181727534175983,-0.018549481723261367,0.0012215498343026293,1.0361232506439326,70.3746597397273,-0.07215829250335087,1.4545021975573245,3.4218075023473196,0.8252464357970469,3998.5470475501215,3728.306670858038,221.70858919786394,-464.60097367045444,-13479.43923446461,,1456
45,0.0,1.4671317567196314,0.24338914139663512,0.02559796487394883,-0.03376772393824319,2.818944184959953,65.07897282211479,0.02403319447413703,0.24970076119917597,3.405736926003052,-0.2371018556975296,2814.2590328148185,3091.297795905541,227.3963688645174,121.36272661142516,-13231.07720239853,,1455
